Id,name,screen_name,location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type,withheld_in_countries,query_created_at,Label
143142537,Igor A. Lilo L.,Igor_Lilo,,,,{'description': {'urls': []}},False,731,745,1,Wed May 12 18:13:18 +0000 2010,112160,,,False,False,85345,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1371058552/IMG00022-20101226-1242_normal.jpg,https://pbs.twimg.com/profile_images/1371058552/IMG00022-20101226-1242_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],Sun May 22 12:39:35 +0000 2022,Igor A. Lilo L.
1180189731746918402,Rui,Rui_1904DL,,,,{'description': {'urls': []}},False,782,1518,14,Fri Oct 04 18:36:22 +0000 2019,36644,,,False,False,37154,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1200745257945706498/JynHyBaR_normal.jpg,https://pbs.twimg.com/profile_images/1200745257945706498/JynHyBaR_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],Sun May 22 12:39:26 +0000 2022,Rui
415055902,Sidney Lee,sesidlee,,"The laws of war protect enemies of the same race, class and culture. The laws of war leave the foreign and the alien without protection. -- Sven Lindqvist",,{'description': {'urls': []}},False,102,168,2,Thu Nov 17 21:07:07 +0000 2011,723,,,False,False,7853,,False,False,False,002147,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1388375716912410625/2uxSLR--_normal.jpg,https://pbs.twimg.com/profile_images/1388375716912410625/2uxSLR--_normal.jpg,000214,000000,000000,000000,True,False,False,False,False,False,False,none,[],Sun May 22 12:39:21 +0000 2022,Sidney Lee
236461468,loïc,Panter_88,,,,{'description': {'urls': []}},False,405,570,12,Mon Jan 10 17:00:55 +0000 2011,153069,,,False,False,62662,,False,False,False,C6E2EE,http://abs.twimg.com/images/themes/theme2/bg.gif,https://abs.twimg.com/images/themes/theme2/bg.gif,False,http://pbs.twimg.com/profile_images/1502589591555121156/C8J9aSy7_normal.jpg,https://pbs.twimg.com/profile_images/1502589591555121156/C8J9aSy7_normal.jpg,1F98C7,C6E2EE,DAECF4,663B12,True,False,False,False,False,False,False,none,[],Sun May 22 12:39:18 +0000 2022,loïc
1219511055048638471,Глубокоуважаемый шкаф,CeuisSWaXP4yTKv,Дальний Восток,Велик и прекрасен Забайкальский край.Читаю только взаимно и то не всегда...не спорю...отправляю в ЧС.Интересна не только политика но и искусство.,,{'description': {'urls': []}},False,400,400,1,Tue Jan 21 06:44:50 +0000 2020,49043,,,False,False,17643,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1523132270269325312/15eYOE1u_normal.jpg,https://pbs.twimg.com/profile_images/1523132270269325312/15eYOE1u_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],Sun May 22 12:39:03 +0000 2022,Глубокоуважаемый шкаф
1285355716664979456,快楽亭ホワイト🇺🇦 ウクライナ支援,Df3Sis,地獄の七丁目,ミリタリー系（WW2メイン）漫画・アニメ・映画・猫大好き,,{'description': {'urls': []}},False,165,472,3,Mon Jul 20 23:29:19 +0000 2020,28053,,,False,False,12486,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1525367178450845697/TLXtv3k4_normal.jpg,https://pbs.twimg.com/profile_images/1525367178450845697/TLXtv3k4_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],Sun May 22 12:38:51 +0000 2022,快楽亭ホワイト🇺🇦 ウクライナ支援
165305257,Maciej Gajewski #SlavaUkraini 🇺🇦,gajewskimaciej,Polska,(Nie)zwykły koleś.,https://t.co/uumGAZK0Uk,"{'url': {'urls': [{'url': 'https://t.co/uumGAZK0Uk', 'expanded_url': 'https://www.spidersweb.pl/author/amat3ur', 'display_url': 'spidersweb.pl/author/amat3ur', 'indices': [0, 23]}]}, 'description': {'urls': []}}",False,2703,2174,37,Sun Jul 11 05:31:25 +0000 2010,9797,,,True,False,30891,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1335849746544652288/1XwPp__K_normal.jpg,https://pbs.twimg.com/profile_images/1335849746544652288/1XwPp__K_normal.jpg,2FC2EF,181A1E,252429,666666,True,True,False,False,False,False,False,none,[],Sun May 22 12:38:09 +0000 2022,Maciej Gajewski #SlavaUkraini 🇺🇦
1002634999378731008,L'Avvocato del Popolo🇺🇦мир🇷🇺#LaForzaGentile,IlConteIT,"Susa, Piemonte","@GiuseppeConteIT è il mio Presidente. Account fan e cronaca.
Lievemente stronza con troll, provocatori e divulgatori di propaganda.",,{'description': {'urls': []}},False,1162,87,6,Fri Jun 01 19:36:26 +0000 2018,80301,,,False,False,86746,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1509992755388375051/1AuAf9p0_normal.jpg,https://pbs.twimg.com/profile_images/1509992755388375051/1AuAf9p0_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],Sun May 22 12:38:01 +0000 2022,L'Avvocato del Popolo🇺🇦мир🇷🇺#LaForzaGentile
887011620895023104,Stefano,Stemag64,,,,{'description': {'urls': []}},False,150,192,0,Mon Jul 17 18:10:25 +0000 2017,11622,,,True,False,20417,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/889977289680793600/zsEvg6Ff_normal.jpg,https://pbs.twimg.com/profile_images/889977289680793600/zsEvg6Ff_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],Sun May 22 12:38:00 +0000 2022,Stefano
1511541306501308423,Sandrine,srdlt_s,,,,{'description': {'urls': []}},False,25,170,0,Wed Apr 06 03:09:26 +0000 2022,1295,,,False,False,670,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1526530604711526400/RcxrJH-F_normal.jpg,https://pbs.twimg.com/profile_images/1526530604711526400/RcxrJH-F_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],Sun May 22 12:37:57 +0000 2022,Sandrine
