,url,date,content,id,username,outlinks,outlinksss,tcooutlinks,tcooutlinksss
0,https://twitter.com/crepuskular/status/1344611334000881666,2020-12-31 11:48:18+00:00,"А тем временем в Беларуси с 1 января 2021г. вводится 13% налог на кэшбек.
#Беларусь #Белоруссия #забатьку #забацьку #ябатька #лукашизм #лукашенко 

Россияне смогут переносить туры с кешбэком до конца 2021 года: https://t.co/NgY8sUWQaw через @ru_rbc",1344611334000881666,crepuskular,['https://www.rbc.ru/business/31/12/2020/5fed934e9a79477db2546b3a'],https://www.rbc.ru/business/31/12/2020/5fed934e9a79477db2546b3a,['https://t.co/NgY8sUWQaw'],https://t.co/NgY8sUWQaw
1,https://twitter.com/crepuskular/status/1344526311184859136,2020-12-31 06:10:27+00:00,"Вспоминается историческая фраза #Лукашенко , сказанная на совещании по вопросу недостатков в государственной торговле:
- Только взялся за #яйца - масло исчезло!
#Белоруссия #ябатька

Минчане жалуются, что из магазинов пропала курица и подорожали яйца: https://t.co/JLfUy4Qeem",1344526311184859136,crepuskular,['https://finance.tut.by/news713358.html?utm_source=twitter&utm_campaign=share&utm_medium=social&utm_content=smart'],https://finance.tut.by/news713358.html?utm_source=twitter&utm_campaign=share&utm_medium=social&utm_content=smart,['https://t.co/JLfUy4Qeem'],https://t.co/JLfUy4Qeem
2,https://twitter.com/crepuskular/status/1344524906860576768,2020-12-31 06:04:52+00:00,"В город приехал цирк с программой ""Бал бабочек и Добрый Лев"". Но в афишах художник поменял слова местами.
В итоге получилось пошло и смешно.
#Беларусь #ябатька #забатьку #забацьку
Стало известно, с кем танцевал #Лукашенко на балу — https://t.co/2N2hfAXDsh https://t.co/bcqIjUya1Y",1344524906860576768,crepuskular,"['http://REFORM.by', 'https://reform.by/190850-stalo-izvestno-s-kem-tanceval-lukashenko-na-balu']",http://REFORM.by https://reform.by/190850-stalo-izvestno-s-kem-tanceval-lukashenko-na-balu,"['https://t.co/2N2hfAXDsh', 'https://t.co/bcqIjUya1Y']",https://t.co/2N2hfAXDsh https://t.co/bcqIjUya1Y
3,https://twitter.com/vamniktonedast/status/1344418882124132352,2020-12-30 23:03:34+00:00,Праздник #new #newyear #сновымгодом #зновымгодам #belarus #freebelarus #freedom #toy #елка #елки #шар #ябатька #2021 https://t.co/1uq82d6PX8,1344418882124132352,vamniktonedast,['https://belarus-news.com/2020/12/30/prazdnik-new-newyear-snovymgodom-znovymgodam-belarus-freebelarus-freedom-toy-elka-elki-shar-yabatka-2021/'],https://belarus-news.com/2020/12/30/prazdnik-new-newyear-snovymgodom-znovymgodam-belarus-freebelarus-freedom-toy-elka-elki-shar-yabatka-2021/,['https://t.co/1uq82d6PX8'],https://t.co/1uq82d6PX8
4,https://twitter.com/valter7755/status/1343146377635893248,2020-12-27 10:47:05+00:00,"Проститутка Мария Василевич 👇

""Я узнаю кто это сделал! Я узнаю родителей этих ублюдков! Я переверну там все вверх дном, но накажу, накажу этих мразей! Если я подключу к решению этого вопроса папу, то вы умоетесь кровавыми слезами""

#беларусь #ябатька #ябатьканутый #лукшизм https://t.co/P1s4L9yIYM",1343146377635893248,valter7755,[],,[],
5,https://twitter.com/ez081968/status/1342954089206984704,2020-12-26 22:03:00+00:00,@roizmangbn #ябатька,1342954089206984704,ez081968,[],,[],
6,https://twitter.com/crepuskular/status/1342877103247613959,2020-12-26 16:57:05+00:00,"Еб@нутые у власти -
Жди, страна, больших несчастий.
#лукашенко #омон #идиотизм #забатьку #забацьку #ябатька #ябацька #беларусь #белоруссия #беспредел  #жывебеларусь #тихановская #2020год
Командир ОМОНа поздравил детей-сирот поездкой в автозаке: https://t.co/udWPH0owaj",1342877103247613959,crepuskular,['https://reform.by/190110-komandir-omona-pozdravil-detej-sirot-poezdkoj-v-avtozake'],https://reform.by/190110-komandir-omona-pozdravil-detej-sirot-poezdkoj-v-avtozake,['https://t.co/udWPH0owaj'],https://t.co/udWPH0owaj
7,https://twitter.com/ukroodesit/status/1342852673578676230,2020-12-26 15:20:01+00:00,"#ябатька беларусы , выбирайте следующего президента с фамилией Банько. https://t.co/0a5MpJc6cp",1342852673578676230,ukroodesit,[],,[],
8,https://twitter.com/Minsk_Centralny/status/1342845997433688064,2020-12-26 14:53:29+00:00,"Как Лукашенко уверовал в угрозу коронавируса / Лукавые новости
https://t.co/mG29NGxHZN

#странадляжизни #стоптаракан #тихановский #лукашенко #ябатька #ябацька #Беларусь #Минск #протест #БЧБ #флаг #выборы2020 #фашизм #беларусь2020 #belarus2020 #Belarus",1342845997433688064,Minsk_Centralny,['https://vk.com/wall-79048917_16220'],https://vk.com/wall-79048917_16220,['https://t.co/mG29NGxHZN'],https://t.co/mG29NGxHZN
9,https://twitter.com/Minsk_Centralny/status/1342845949048205317,2020-12-26 14:53:17+00:00,"Как Лукашенко украл рождество
https://t.co/NKvBvCXYAx

#странадляжизни #стоптаракан #тихановский #лукашенко #ябатька #ябацька #Беларусь #Минск #протест #БЧБ #флаг #выборы2020 #фашизм #беларусь2020 #belarus2020 #Belarus",1342845949048205317,Minsk_Centralny,['https://vk.com/wall-79048917_16219'],https://vk.com/wall-79048917_16219,['https://t.co/NKvBvCXYAx'],https://t.co/NKvBvCXYAx
10,https://twitter.com/Minsk_Centralny/status/1342845854374371331,2020-12-26 14:52:55+00:00,"Тут фарбы перамяшаныя са слязьмі | Тут краски перемешаны со слезами
https://t.co/aFRH0Exs2O

#странадляжизни #стоптаракан #тихановский #лукашенко #ябатька #ябацька #Беларусь #Минск #протест #БЧБ #флаг #выборы2020 #фашизм #беларусь2020 #belarus2020 #Belarus",1342845854374371331,Minsk_Centralny,['https://vk.com/wall-79048917_16217'],https://vk.com/wall-79048917_16217,['https://t.co/aFRH0Exs2O'],https://t.co/aFRH0Exs2O
11,https://twitter.com/Minsk_Centralny/status/1342845812477489152,2020-12-26 14:52:45+00:00,"Те, кто кормит режим Лукашенко, поплатились за это | Балаба воскрес
https://t.co/aS3ErsYtLD

#странадляжизни #стоптаракан #тихановский #лукашенко #ябатька #ябацька #Беларусь #Минск #протест #БЧБ #флаг #выборы2020 #фашизм #беларусь2020 #belarus2020 #Belarus",1342845812477489152,Minsk_Centralny,['https://vk.com/wall-79048917_16216'],https://vk.com/wall-79048917_16216,['https://t.co/aS3ErsYtLD'],https://t.co/aS3ErsYtLD
